ObjectId,Mode,LineAbbr,Month,Year,ServiceType,AvgBoardings,City,County
1,Fixed Route Bus - Express,11,August,2018,WKD,243.604099,Salt Lake City,Salt Lake
2,Fixed Route Bus - Express,451,July,2017,WKD,266.43762,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
3,Fixed Route Bus - Express,454,April,2017,WKD,31.138919,"Grantsville, Salt Lake City","Tooele, Salt Lake"
4,Fixed Route Bus - Express,451,August,2021,WKD,113.415439,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
5,Fixed Route Bus - Express,472,November,2021,WKD,68.6,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
6,Fixed Route Bus - Express,456,April,2020,WKD,0.409091,"Farmington, West Bountiful, Kaysville, South Ogden, Riverdale, Clearfield, Sunset, Ogden, North Salt Lake, Woods Cross, Layton, Salt Lake City, Centerville, Roy","Weber, Davis, Salt Lake"
7,Fixed Route Bus - Express,313,January,2017,WKD,75.363216,"Midvale, Millcreek, Cottonwood Heights, Sandy, Salt Lake City, Holladay, Murray",Salt Lake
8,Fixed Route Bus - Express,451,August,2017,WKD,294.67619,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
9,Fixed Route Bus - Express,454,May,2017,WKD,34.069048,"Grantsville, Salt Lake City","Tooele, Salt Lake"
10,Fixed Route Bus - Express,454,June,2017,WKD,36.16792,"Grantsville, Salt Lake City","Tooele, Salt Lake"
11,Fixed Route Bus - Express,451,September,2017,WKD,303.795351,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
12,Fixed Route Bus - Express,313,February,2017,WKD,71.506874,"Midvale, Millcreek, Cottonwood Heights, Sandy, Salt Lake City, Holladay, Murray",Salt Lake
13,Fixed Route Bus - Express,451,September,2021,WKD,123.514603,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
14,Fixed Route Bus - Express,451,October,2017,WKD,289.15014,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
15,Fixed Route Bus - Express,472,December,2021,WKD,58.273214,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
16,Fixed Route Bus - Express,460,August,2018,WKD,40.054865,"North Salt Lake, Woods Cross, Salt Lake City","Davis, Salt Lake"
17,Fixed Route Bus - Express,454,July,2017,WKD,36.235294,"Grantsville, Salt Lake City","Tooele, Salt Lake"
18,Fixed Route Bus - Express,313,March,2017,WKD,72.21132,"Midvale, Millcreek, Cottonwood Heights, Sandy, Salt Lake City, Holladay, Murray",Salt Lake
19,Fixed Route Bus - Express,451,November,2017,WKD,302.039851,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
20,Fixed Route Bus - Express,472,January,2017,WKD,403.718045,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
21,Fixed Route Bus - Express,472,January,2022,WKD,54.166013,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
22,Fixed Route Bus - Express,451,October,2021,WKD,117.468296,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
23,Fixed Route Bus - Express,454,August,2017,WKD,35.794737,"Grantsville, Salt Lake City","Tooele, Salt Lake"
24,Fixed Route Bus - Express,472,February,2022,WKD,70.036292,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
25,Fixed Route Bus - Express,313,April,2017,WKD,62.451759,"Midvale, Millcreek, Cottonwood Heights, Sandy, Salt Lake City, Holladay, Murray",Salt Lake
26,Fixed Route Bus - Express,472,February,2017,WKD,414.501032,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
27,Fixed Route Bus - Express,451,December,2017,WKD,274.099242,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
28,Fixed Route Bus - Express,451,November,2021,WKD,117.376205,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
29,Fixed Route Bus - Express,472,March,2017,WKD,404.898419,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
30,Fixed Route Bus - Express,313,May,2017,WKD,58.801732,"Midvale, Millcreek, Cottonwood Heights, Sandy, Salt Lake City, Holladay, Murray",Salt Lake
31,Fixed Route Bus - Express,454,September,2017,WKD,33.642857,"Grantsville, Salt Lake City","Tooele, Salt Lake"
32,Fixed Route Bus - Express,451,January,2018,WKD,298.277778,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
33,Fixed Route Bus - Express,472,March,2022,WKD,88.826482,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
34,Fixed Route Bus - Express,313,June,2017,WKD,52.913089,"Midvale, Millcreek, Cottonwood Heights, Sandy, Salt Lake City, Holladay, Murray",Salt Lake
35,Fixed Route Bus - Express,472,April,2022,WKD,102.484127,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
36,Fixed Route Bus - Express,454,October,2017,WKD,30.185714,"Grantsville, Salt Lake City","Tooele, Salt Lake"
37,Fixed Route Bus - Express,313,July,2017,WKD,52.367414,"Midvale, Millcreek, Cottonwood Heights, Sandy, Salt Lake City, Holladay, Murray",Salt Lake
38,Fixed Route Bus - Express,472,May,2022,WKD,108.754605,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
39,Fixed Route Bus - Express,451,February,2018,WKD,304.476223,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
40,Fixed Route Bus - Express,451,December,2021,WKD,90.460067,"Salt Lake City, Tooele, Erda","Tooele, Salt Lake"
41,Fixed Route Bus - Express,472,April,2017,WKD,402.16759,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
42,Fixed Route Bus - Express,472,May,2017,WKD,389.061239,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
43,Fixed Route Bus - Express,472,June,2017,WKD,385.93728,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
44,Fixed Route Bus - Express,472,July,2017,WKD,355.391284,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
45,Fixed Route Bus - Express,472,August,2017,WKD,385.97235,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
46,Fixed Route Bus - Express,472,September,2017,WKD,393.417251,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
47,Fixed Route Bus - Express,472,October,2017,WKD,380.625537,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
48,Fixed Route Bus - Express,472,November,2017,WKD,387.443206,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
49,Fixed Route Bus - Express,472,December,2017,WKD,345.528947,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
50,Fixed Route Bus - Express,472,January,2018,WKD,404.946719,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
51,Fixed Route Bus - Express,472,February,2018,WKD,415.083094,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
52,Fixed Route Bus - Express,472,March,2018,WKD,407.431221,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
53,Fixed Route Bus - Express,472,April,2018,WKD,405.462974,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
54,Fixed Route Bus - Express,472,May,2018,WKD,385.627092,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
55,Fixed Route Bus - Express,472,June,2018,WKD,370.34714,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
56,Fixed Route Bus - Express,472,July,2018,WKD,350.95,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
57,Fixed Route Bus - Express,472,September,2018,WKD,398.25129,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
58,Fixed Route Bus - Express,472,October,2018,WKD,393.596838,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
59,Fixed Route Bus - Express,472,November,2018,WKD,391.219046,"S Ogden, Riverdale, SLC, Woods Cross, Roy, S Weber, Farmington, Clearfield, N SL, Uintah, Centerville, Layton, Fruit Heights, Sunset, Bountiful, Kaysville, Ogden","Weber, Davis, Salt Lake"
